Publication type,Year,Authors,CiteScore,CiteScorePercentile,Views,OpenAccess,Affiliations,Prominence,Citations,FWCI
Conference Paper,2016,4,17.4,1,2838,0,1,99.998,65928,2208.72
Conference Paper,2016,4,17.4,1,777,1,3,99.998,13827,467.97
Conference Paper,2016,5,17.4,1,443,1,2,99.998,10655,358
Conference Paper,2016,7,1.6,40,388,1,4,99.998,10349,792.96
Conference Paper,2016,2,,,559,1,1,98.979,9752,384.13
Conference Paper,2016,22,,,334,0,1,99.998,9175,775.74
Article,2016,4,22,1,450,1,2,99.622,4200,212.35
Conference Paper,2016,2,,,154,1,1,98.725,4170,237.87
Article,2016,2,4.8,7,579,0,2,99.796,4079,162.74
Conference Paper,2016,9,17.4,1,151,1,4,99.998,3875,151.64
Book,2016,4,,,1344,0,3,89.83,3835,139.85
Article,2016,53,4.7,5,564,1,53,74.633,3767,224.49
Conference Paper,2016,3,,,547,0,1,99.998,3709,154.95
Conference Paper,2016,3,17.4,1,143,1,2,99.622,3466,145.43
Conference Paper,2016,3,1.6,40,122,1,1,99.622,3399,273.58
Conference Paper,2016,4,1.6,40,93,1,1,99.998,3397,289.51
Conference Paper,2016,5,17.4,1,119,1,2,99.998,3370,105.34
Article,2016,1,8.7,1,90,1,1,22.784,3286,281.4
Conference Paper,2016,3,,,199,1,2,99.998,3277,160.4
Article,2016,5,8,6,848,0,1,99.956,3222,136.91
Conference Paper,2016,6,,,295,0,1,99.707,3052,314.7
Conference Paper,2016,4,,,173,0,2,99.998,3017,296.56
Article,2016,9,8.2,5,938,1,3,99.998,2757,120.97
Conference Paper,2016,8,17.4,1,79,1,1,99.622,2608,91.87
Conference Paper,2016,6,,,106,1,2,99.916,2580,173.89
Conference Paper,2016,3,,,176,0,1,95.696,2526,168.89
Article,2016,8,5,6,250,0,3,99.552,2418,92.46
Article,2016,4,5.3,6,139,1,2,98.611,2360,105.3
Conference Paper,2016,3,17.4,1,138,0,5,99.903,2272,99.23
Conference Paper,2016,5,17.4,1,85,1,1,99.998,2222,94.81
Conference Paper,2016,5,1.6,40,151,1,7,99.998,2171,160.81
Article,2016,10,4.7,5,134,1,5,99.505,2163,116.94
Review,2016,2,3.5,14,3126,1,1,99.98,2013,45.89
Article,2016,3,3.7,10,303,1,3,98.952,1979,81.37
Short Survey,2016,2,9.2,3,516,0,2,99.808,1950,26.18
Conference Paper,2016,2,,,30,0,2,99.998,1890,158.82
Article,2016,3,17.7,1,233,1,1,99.883,1887,91.46
Conference Paper,2016,3,1.6,40,48,1,1,99.33,1865,146.81
Conference Paper,2016,3,,,228,0,1,99.409,1859,132.42
Article,2016,3,10.8,1,25,1,3,40.426,1852,41.09
Conference Paper,2016,3,,,86,0,2,99.998,1851,145.85
Conference Paper,2016,5,,,71,0,1,98.502,1825,112.6
Article,2016,1,8.2,6,226,0,2,99.796,1803,42.54
Conference Paper,2016,4,1.6,40,89,0,3,99.733,1711,168.3
Conference Paper,2016,5,1.6,40,101,1,1,99.722,1701,139.81
Conference Paper,2016,6,,,111,0,3,99.707,1673,173.13
Conference Paper,2016,3,17.4,1,109,1,2,99.629,1631,82.29
Conference Paper,2016,4,1.6,40,64,1,2,99.998,1618,164.19
Conference Paper,2016,3,17.4,1,49,1,1,99.998,1597,51.56
Conference Paper,2016,2,17.4,1,103,1,1,99.722,1592,84.5
Conference Paper,2016,3,17.4,1,51,1,2,99.622,1555,64.09
Review,2016,5,14,2,301,1,8,95.681,1550,25.14
Conference Paper,2016,4,17.4,1,75,1,1,99.33,1545,82.08
Article,2016,4,6.5,9,145,1,5,99.956,1543,68.8
Conference Paper,2016,5,,,141,1,2,99.294,1502,98.47
Conference Paper,2016,6,,,159,1,4,98.437,1494,143.76
Article,2016,8,8.9,4,417,1,10,98.358,1488,61.46
Article,2016,3,4.6,21,482,1,1,99.552,1466,47.23
Article,2016,16,9.6,3,113,0,3,98.006,1465,61.07
Article,2016,7,8.2,5,506,1,4,99.998,1448,68.69
Article,2016,3,5.4,6,1606,0,4,99.692,1441,84.97
Conference Paper,2016,3,,,73,0,3,99.998,1408,116.32
Book,2016,2,,,222,0,2,96.756,1407,56.71
Article,2016,4,10.8,1,27,1,15,99.262,1381,38.33
Conference Paper,2016,3,,,92,0,2,98.725,1381,84.19
Article,2016,4,22,1,325,0,2,99.998,1378,80.23
Review,2016,5,9.2,3,242,1,5,99.79,1373,28.65
Conference Paper,2016,4,,,31,1,1,99.581,1364,88.99
Conference Paper,2016,2,17.4,1,92,0,2,91.431,1363,47.78
Article,2016,4,10.8,3,1131,0,2,99.911,1349,86.89
Conference Paper,2016,5,17.4,1,42,1,1,99.722,1345,69.87
Review,2016,2,8,6,593,0,2,99.956,1343,36.84
Conference Paper,2016,3,1.6,40,60,1,1,99.622,1336,107.69
Review,2016,4,16.3,1,205,1,3,91.048,1326,28.38
Article,2016,4,8.2,5,532,0,2,99.031,1289,59.06
Conference Paper,2016,7,,,110,1,2,99.998,1277,148.64
Article,2016,4,5.4,15,94,0,8,99.922,1267,44.35
Conference Paper,2016,14,,,30,0,5,81.489,1251,125.22
Article,2016,5,10.2,3,68,1,2,99.16,1249,43.03
Article,2016,1,5.2,21,211,0,2,99.796,1237,37.92
Article,2016,14,7.7,4,282,0,5,95.53,1233,106.61
Conference Paper,2016,3,17.4,1,37,1,2,99.998,1211,53.88
Book,2016,1,,,627,0,1,99.122,1186,117.04
Article,2016,2,4.1,18,416,1,1,99.468,1179,56.05
Review,2016,4,5,6,214,0,1,98.151,1177,34.48
Conference Paper,2016,6,17.4,1,148,1,1,98.578,1160,43.25
Conference Paper,2016,7,1.6,40,73,1,4,99.629,1150,108.66
Conference Paper,2016,8,,,94,0,1,99.409,1147,68.24
Article,2016,3,6.6,3,307,0,2,98.242,1136,69.67
Conference Paper,2016,5,,,819,0,2,99.98,1122,136.4
Article,2016,4,10.8,1,30,1,6,98.595,1112,50.47
Conference Paper,2016,7,6,12,176,1,2,99.071,1105,60.49
Article,2016,6,4.9,17,762,0,3,99.998,1103,38.01
Article,2016,17,9.6,3,122,1,12,98.667,1096,38.35
Review,2016,4,5.4,14,356,1,3,99.958,1092,13.36
Conference Paper,2016,7,17.4,1,31,1,2,96.986,1092,48.83
Conference Paper,2016,4,3.5,25,68,0,2,99.294,1082,110.5
Article,2016,5,7.2,2,773,0,2,99.925,1081,56.47
Conference Paper,2016,4,,,47,1,3,95.951,1073,82.21
Conference Paper,2016,16,1.4,65,134,1,1,99.902,1071,60.9
Conference Paper,2016,3,,,190,1,1,99.902,1068,118.33
Conference Paper,2016,5,,,148,1,3,98.437,1063,105.92
Conference Paper,2016,4,17.4,1,78,1,2,98.855,1061,42.2
Conference Paper,2016,4,1.6,40,26,1,1,99.722,1049,112.04
Conference Paper,2016,7,,,54,0,1,99.916,1028,43.48
Article,2016,2,4,7,996,1,1,98.964,1023,67.99
Conference Paper,2016,4,,,750,0,1,99.98,1019,109.49
Article,2016,3,5.2,21,182,0,4,99.796,1015,26.73
Conference Paper,2016,5,17.4,1,32,1,2,99.74,996,50.09
Article,2016,1,5.6,4,232,0,1,99.796,993,34.93
Conference Paper,2016,2,,,19,1,2,99.998,989,33.62
Conference Paper,2016,5,,,56,1,4,98.402,985,70.64
Article,2016,3,8.6,1,354,0,2,98.756,973,136.91
Editorial,2016,3,8.2,5,202,0,3,99.998,953,640.26
Article,2016,16,5,6,201,0,10,95.53,953,69.46
Article,2016,4,8.9,4,171,0,2,98.723,951,82.08
Conference Paper,2016,5,17.4,1,85,0,1,99.733,947,53.88
Conference Paper,2016,5,,,21,0,1,99.998,946,92.57
Conference Paper,2016,5,17.4,1,77,1,7,98.178,946,43.88
Conference Paper,2016,5,17.4,1,58,1,2,99.74,944,51.77
Article,2016,4,1,46,1914,1,3,99.783,922,29.72
Conference Paper,2016,8,,,147,0,4,99.409,917,84.42
Article,2016,3,14.6,1,139,1,2,99.956,916,44.23
Conference Paper,2016,6,17.4,1,39,1,1,99.156,914,43.36
Article,2016,5,,,182,1,2,99.018,909,44.56
Conference Paper,2016,5,17.4,1,80,0,1,98.072,906,33.36
Conference Paper,2016,3,1.6,40,42,1,1,92.119,898,71.71
Book,2016,1,,,109,0,1,87.887,891,13.34
Article,2016,3,11.6,2,293,0,2,98.524,883,47.38
Article,2016,16,2.9,30,156,1,6,94.291,881,35.88
Conference Paper,2016,2,,,98,0,1,4.342,875,53.65
Conference Paper,2016,8,,,85,0,2,99.998,871,87.94
Conference Paper,2016,3,,,50,0,2,99.125,871,82.44
Conference Paper,2016,3,,,39,0,3,98.211,867,67.13
Conference Paper,2016,5,17.4,1,61,0,5,99.998,867,40.09
Article,2016,3,12,2,211,0,2,99.716,862,52.56
Conference Paper,2016,2,1.8,35,1139,1,2,99.937,860,137
Review,2016,2,0.6,66,340,1,1,83.109,860,10.61
Conference Paper,2016,5,,,56,0,2,96.214,856,93.75
Article,2016,3,,,40,1,3,92.755,854,49.07
Article,2016,7,14.6,1,568,1,5,98.631,852,51.39
Conference Paper,2016,139,1.6,40,378,1,45,99.722,849,110.11
Conference Paper,2016,5,,,78,0,4,99.998,847,83.86
Conference Paper,2016,5,6,12,635,0,3,95.125,847,61.62
Conference Paper,2016,2,,,61,0,1,99.707,838,95.87
Conference Paper,2016,4,1.6,40,37,1,2,99.998,829,95.62
Article,2016,5,7.7,4,224,1,3,98.001,826,74.86
Conference Paper,2016,5,,,50,1,2,99.722,822,30.01
Conference Paper,2016,4,17.4,1,72,1,2,99.998,818,44.09
Conference Paper,2016,5,,,109,0,3,96.411,817,96.11
Review,2016,1,,,157,1,1,99.412,811,11.7
Article,2016,4,16.2,1,282,1,2,97.673,807,41.83
Conference Paper,2016,8,,,94,0,5,99.998,797,85.93
Conference Paper,2016,4,4.5,17,92,0,1,98.358,797,75.44
Conference Paper,2016,3,,,31,0,1,99.998,796,66.04
Conference Paper,2016,2,,,47,1,2,99.902,796,60.87
Review,2016,13,,,119,1,6,89.314,793,13.84
Article,2016,2,5,6,82,0,4,96.241,792,50.94
Conference Paper,2016,6,,,29,0,1,99.707,789,84.8
Conference Paper,2016,5,17.4,1,49,1,1,99.998,787,36.62
Article,2016,4,4.1,18,202,1,3,99.395,781,44.93
Conference Paper,2016,5,1.6,40,20,1,2,99.733,780,51.43
Conference Paper,2016,4,,,28,0,2,99.74,778,78.44
Article,2016,7,22,1,93,1,5,99.722,777,52.01
Conference Paper,2016,3,17.4,1,29,0,2,99.16,776,29.89
Conference Paper,2016,4,,,67,0,3,99.294,774,98.07
Article,2016,5,14.2,1,155,1,3,97.252,770,53.18
Article,2016,8,7.9,2,57,1,9,99.494,765,39.49
Conference Paper,2016,12,,,203,0,5,99.998,758,125.06
Article,2016,1,6.6,10,287,0,1,99.855,757,30.66
Article,2016,4,9.5,2,121,1,7,99.883,756,54.38
Conference Paper,2016,5,17.4,1,60,0,4,93.268,753,34.41
Article,2016,4,2.6,33,155,1,5,90.301,752,39.17
Conference Paper,2016,2,,,42,0,1,99.294,749,91.63
Article,2016,5,4.7,20,1080,1,2,99.058,734,38.82
Article,2016,4,2.4,23,1297,1,1,55.499,733,58.15
Conference Paper,2016,4,17.4,1,42,1,2,99.998,732,35.04
Conference Paper,2016,4,17.4,1,41,1,1,99.733,730,45.25
Article,2016,2,9.2,3,47,1,1,99.79,728,39.13
Conference Paper,2016,3,,,131,1,1,99.385,722,83.08
Conference Paper,2016,3,17.4,1,56,1,1,99.998,720,38.83
Conference Paper,2016,6,1.6,40,64,0,3,99.16,719,58.68
Conference Paper,2016,4,17.4,1,75,1,3,98.611,718,29.89
Article,2016,3,3.7,10,144,1,2,98.952,713,26.79
Review,2016,4,14,2,185,1,3,99.03,712,19.15
Conference Paper,2016,3,17.4,1,40,1,1,99.722,710,35.25
Article,2016,5,16.3,1,334,0,3,99.925,709,28.53
Conference Paper,2016,3,17.4,1,108,1,1,98.045,709,35.88
Article,2016,5,8.2,5,203,1,4,93.357,706,35.45
Article,2016,10,8.2,5,216,0,4,98.796,704,36.94
Conference Paper,2016,3,,,43,1,1,99.998,703,75.66
Conference Paper,2016,5,,,24,1,2,98.048,702,46.64
Article,2016,12,,,58,1,16,99.815,697,21.2
Conference Paper,2016,4,,,73,0,1,99.98,697,99.92
Conference Paper,2016,6,17.4,1,47,0,2,96.386,697,31.15
Article,2016,4,14.6,1,93,1,4,99.731,692,43.8
Short Survey,2016,2,9.2,3,522,1,1,98.242,691,13.03
Article,2016,3,17.7,1,116,1,3,99.354,686,44.59
Conference Paper,2016,6,6,12,390,0,2,99.98,684,54.86
Article,2016,5,16.3,1,134,0,3,99.925,683,24.23
Article,2016,4,22,1,80,1,2,98.402,682,36.08
Conference Paper,2016,2,,,58,0,2,97.691,680,58.65
Article,2016,3,3.6,16,585,1,2,99.895,680,32.17
Conference Paper,2016,2,1.6,40,13,1,2,99.552,680,35.49
Conference Paper,2016,5,,,16,1,2,96.214,679,39.32
Article,2016,4,17.4,1,162,1,1,98.045,678,39.81
Review,2016,4,14,2,226,1,5,99.916,678,15.13
Article,2016,6,6.2,4,2028,0,4,99.024,678,38.84
Article,2016,8,11.4,1,55,0,1,99.61,669,35.16
Article,2016,4,14.2,1,181,1,2,99.395,665,38.6
Article,2016,4,7.3,3,411,0,1,99.018,662,27.89
Article,2016,4,16.2,1,75,0,3,99.502,655,30.89
Conference Paper,2016,5,,,78,0,2,99.902,653,36.33
Conference Paper,2016,4,1.6,40,52,1,3,98.855,652,68.09
Article,2016,2,2.7,34,1867,0,4,99.98,648,33.76
Article,2016,3,10.1,1,786,1,2,96.045,648,60.26
Article,2016,5,1.3,37,191,1,2,97.351,647,45.11
Conference Paper,2016,5,,,184,0,2,99.916,644,41.93
Conference Paper,2016,4,3.5,25,50,1,2,88.074,643,65.24
Article,2016,4,8,6,431,1,1,87.812,641,42.35
Conference Paper,2016,4,,,69,0,2,99.552,640,53.47
Article,2016,2,3.5,17,129,0,2,99.956,639,63.89
Article,2016,2,3.5,17,106,0,2,99.956,638,59.85
Article,2016,1,,,139,1,1,88.694,637,32.55
Article,2016,3,4.9,17,126,0,4,97.673,636,18.79
Conference Paper,2016,6,17.4,1,89,1,4,15.981,635,29.15
Article,2016,6,8.2,5,229,1,4,99.624,634,34.29
Conference Paper,2016,1,,,1129,0,1,99.98,633,88.19
Conference Paper,2016,4,,,11,1,2,99.916,631,63.53
Conference Paper,2016,5,3.5,25,57,1,2,99.294,631,80.4
Review,2016,7,8.2,5,323,1,8,97.114,630,9.44
Article,2016,4,8.2,1,293,0,4,99.502,629,28.27
Conference Paper,2016,7,17.4,1,64,0,5,99.722,622,37.15
Article,2016,5,8.9,4,101,0,2,98.723,620,57.62
Article,2016,5,14.6,1,52,1,3,99.79,616,38.67
Conference Paper,2016,5,17.4,1,33,1,3,98.628,615,24.1
Conference Paper,2016,4,,,151,0,1,97.532,613,33.82
Article,2016,3,6.4,9,110,0,2,99.716,613,38.87
Conference Paper,2016,3,,,38,0,2,99.707,610,74.67
Conference Paper,2016,4,9.2,3,55,1,3,99.79,609,87.63
Conference Paper,2016,6,,,98,0,2,99.707,609,72.19
Article,2016,2,5,6,44,0,1,20.366,608,22.88
Review,2016,3,6.9,8,289,0,1,99.748,608,14
Conference Paper,2016,2,1.6,40,40,1,1,99.903,607,62.06
Review,2016,1,16.1,1,124,1,1,97.334,605,13.87
Review,2016,3,,,195,0,2,99.681,605,12.21
Article,2016,5,4.8,20,623,0,3,90.981,604,25.71
Article,2016,4,4.2,14,72,1,6,99.883,604,38.27
Article,2016,2,8.2,1,332,0,1,99.468,603,34.11
Article,2016,6,13.1,1,145,1,2,99.876,597,61.39
Article,2016,1,9.7,1,297,0,2,64.206,597,17.7
Conference Paper,2016,5,,,50,0,4,99.552,596,61.01
Article,2016,11,10,3,115,1,18,98.942,596,26.37
Conference Paper,2016,3,1.6,40,36,1,1,99.722,595,67.13
Conference Paper,2016,3,,,40,0,3,99.552,595,43.42
Article,2016,3,9.5,2,60,1,4,99.731,595,48.24
Article,2016,3,7.5,6,528,1,3,99.945,594,19.77
Article,2016,4,7.9,2,56,1,4,99.805,594,23.05
Conference Paper,2016,2,17.4,1,31,1,1,99.478,592,33.99
Conference Paper,2016,3,1.8,35,1068,1,2,64.661,592,74.95
Conference Paper,2016,2,,,50,0,1,95.066,590,58.18
Conference Paper,2016,5,,,23,0,2,98.725,585,32.06
Short Survey,2016,3,9.2,3,370,1,4,99.808,581,9.96
Article,2016,5,5.6,13,139,1,2,99.035,579,22.83
Conference Paper,2016,4,17.4,1,38,1,3,99.998,577,32.62
Conference Paper,2016,5,17.4,1,48,1,3,98.628,577,29.04
Article,2016,2,11.4,1,232,1,1,99.681,577,38.51
Article,2016,3,8.6,3,136,0,3,99.906,576,19.61
Conference Paper,2016,5,1.6,40,14,1,1,99.733,575,47.57
Conference Paper,2016,4,1.6,40,55,1,1,98.402,574,58.43
Conference Paper,2016,3,17.4,1,61,1,1,99.74,572,34.31
Article,2016,9,10.8,1,37,1,2,99.805,572,21.99
Conference Paper,2016,1,,,38,0,1,99.733,570,45.7
Conference Paper,2016,4,6,12,108,1,2,98.437,567,38.32
Conference Paper,2016,2,17.4,1,32,0,1,99.478,563,29.99
Article,2016,2,3.5,14,157,1,3,95.076,562,40.12
Conference Paper,2016,8,,,53,0,3,98.502,560,53.94
Conference Paper,2016,18,,,113,1,18,99.855,559,53.97
Article,2016,2,0.1,95,152,1,1,99.624,559,31.15
Conference Paper,2016,3,1.6,40,52,0,1,99.722,559,42.5
Article,2016,2,4,7,816,1,2,98.964,559,50.03
Conference Paper,2016,4,,,44,1,1,99.902,557,43.75
Article,2016,6,8.8,1,318,0,2,31.683,556,48.21
Article,2016,8,9,1,1140,1,3,99.839,556,28.62
Review,2016,7,4.1,18,215,1,4,97.289,552,11.19
Review,2016,3,5.4,14,92,1,1,72.531,552,7.72
Article,2016,3,10.8,1,35,1,4,99.805,552,25.83
Article,2016,3,0.8,70,50,1,2,97.64,550,26.45
Article,2016,2,8.2,5,135,0,1,97.449,549,27.41
Conference Paper,2016,4,17.4,1,32,0,3,98.461,548,29.25
Article,2016,9,3.5,14,76,1,3,99.956,545,43.61
Article,2016,2,7.4,1,528,0,2,99.241,545,23.54
Article,2016,2,10.6,3,76,0,1,99.716,544,30.73
Article,2016,6,8.2,5,140,1,3,99.998,543,31.54
Review,2016,8,7.7,4,46,1,6,84.949,543,17.16
Conference Paper,2016,2,,,9,0,1,97.574,542,31.48
Review,2016,2,5.4,5,970,0,1,99.776,541,9.62
Article,2016,5,,,284,1,4,98.055,541,26.86
Review,2016,1,6,4,599,1,1,90.787,541,12.2
Article,2016,3,10.8,1,40,0,3,99.494,540,19.35
Conference Paper,2016,3,,,96,1,1,99.883,538,74.61
Article,2016,4,9,4,214,0,2,99.707,536,20.84
Article,2016,7,8.9,4,162,1,7,94.915,536,27.01
Conference Paper,2016,7,17.4,1,51,0,3,84.489,535,21.05
Conference Paper,2016,5,17.4,1,33,1,2,99.998,535,24.62
Conference Paper,2016,4,,,37,0,2,99.902,533,52.09
Conference Paper,2016,3,,,29,0,1,99.707,530,58.18
Conference Paper,2016,5,1.6,40,34,1,2,99.998,528,54.57
Conference Paper,2016,4,17.4,1,40,1,2,99.998,528,31.67
Conference Paper,2016,6,,,13,1,3,99.903,526,35.36
Article,2016,4,,,212,1,2,99.833,525,17.17
Article,2016,3,8.2,6,256,0,4,99.855,525,23.73
Article,2016,3,14,2,67,1,4,88.541,523,40.13
Conference Paper,2016,3,,,58,1,1,99.385,521,47.56
Conference Paper,2016,2,,,25,0,3,99.916,519,51.84
Conference Paper,2016,3,17.4,1,26,1,1,99.733,517,36.62
Conference Paper,2016,5,,,50,0,7,98.437,516,49.27
Conference Paper,2016,3,,,30,1,2,98.048,513,38.84
Article,2016,4,3.5,14,635,1,4,99.911,512,42.18
Conference Paper,2016,7,17.4,1,38,1,3,99.33,512,25.15
Article,2016,3,11.6,2,119,0,1,99.716,512,36.85
Conference Paper,2016,8,,,25,0,4,99.057,511,56.65
Conference Paper,2016,7,3.5,25,94,1,5,98.942,509,65.96
Conference Paper,2016,3,17.4,1,74,0,1,96.241,508,28.31
Article,2016,2,5.1,14,87,0,1,99.359,508,27.03
Article,2016,7,8.2,5,163,1,6,99.624,506,29.85
Conference Paper,2016,6,,,14,1,2,99.581,506,51.15
Conference Paper,2016,3,,,52,0,3,99.916,505,46.88
Conference Paper,2016,4,,,18,0,2,79.8,504,29.53
Conference Paper,2016,5,1.6,40,34,1,4,98.045,499,53.85
Conference Paper,2016,3,,,1255,0,1,98.199,498,70.73
Article,2016,5,14.6,1,187,1,4,79.778,497,30.66
Conference Paper,2016,6,6,12,164,0,1,99.98,497,32.69
Article,2016,2,10.8,1,54,1,4,96.974,497,27.4
Conference Paper,2016,5,8,6,112,0,4,99.956,497,61.33
Conference Paper,2016,4,1.6,40,57,1,2,98.611,496,62.3
Article,2016,10,10.1,1,712,0,9,99.024,495,49.7
Article,2016,1,10.8,1,47,1,3,99.419,493,23.19
Conference Paper,2016,4,,,64,0,2,66.619,492,46.53
Conference Paper,2016,1,,,598,0,1,99.98,492,65.02
Article,2016,3,11.8,2,1255,1,2,68.917,492,34.21
Conference Paper,2016,4,,,24,0,1,99.998,491,38.4
Short Survey,2016,3,4.8,7,698,1,3,99.599,491,110.59
Book,2016,1,,,39,0,1,99.285,491,21.35
Conference Paper,2016,3,,,100,0,3,98.725,490,36.07
Conference Paper,2016,4,17.4,1,51,1,3,99.33,490,19.57
Conference Paper,2016,2,,,36,0,1,55.414,489,55.36
Conference Paper,2016,3,17.4,1,19,1,1,99.629,482,23.05
Conference Paper,2016,2,1.6,40,24,1,1,99.998,481,19.32
Article,2016,3,3.5,14,41,1,1,99.731,481,34.09
Review,2016,8,5.4,14,223,1,4,99.083,481,6.53
Short Survey,2016,5,9.2,3,100,1,2,99.142,481,8.27
Conference Paper,2016,4,17.4,1,36,0,1,99.74,480,20.52
Conference Paper,2016,4,2.2,37,83,1,3,99.956,480,66.52
Article,2016,4,4.7,20,620,0,2,99.839,480,26.19
Conference Paper,2016,5,,,135,0,3,97.574,478,42.83
Conference Paper,2016,7,,,45,0,6,98.855,478,54
Conference Paper,2016,12,1.6,40,231,0,8,99.98,477,52.64
Article,2016,3,15.2,1,45,0,3,99.438,476,28.65
Conference Paper,2016,4,,,113,0,8,99.624,475,30.86
Conference Paper,2016,2,4.5,17,45,1,1,97.459,474,59.79
Review,2016,1,5.6,5,907,1,1,98.964,473,35.69
Conference Paper,2016,3,1.8,35,540,1,1,98.199,473,74.12
